 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
   8   6     0.05  -0.06  -0.24    -0.03   0.24   0.31     0.11  -0.07  -0.05
   9   6     0.06  -0.02  -0.15    -0.04  -0.06  -0.10     0.04   0.04  -0.10
  10   6     0.00  -0.03  -0.06     0.05  -0.00  -0.21     0.06   0.17  -0.05
  11   6    -0.14  -0.11   0.20    -0.09  -0.08   0.05    -0.14   0.09   0.23
  12   6    -0.09  -0.04   0.16    -0.09  -0.02   0.09    -0.15  -0.02   0.16
  13   6     0.13   0.04  -0.07     0.12   0.04  -0.06    -0.13   0.06  -0.27
  14  17    -0.02   0.25  -0.00    -0.00  -0.07   0.02     0.02  -0.14  -0.05
  15   1     0.05  -0.02   0.10    -0.03   0.03  -0.03     0.06  -0.02  -0.03
  16   1     0.06   0.04   0.04    -0.03  -0.01   0.00     0.07   0.01  -0.09
  17   1     0.01  -0.04   0.06    -0.01   0.01  -0.01     0.01   0.04  -0.08
  18   1    -0.05   0.02  -0.05     0.04   0.01   0.02    -0.04  -0.03   0.01
  19   1    -0.02  -0.09  -0.05     0.02   0.04   0.02    -0.02   0.02   0.01
  20   1    -0.04   0.09   0.01     0.03  -0.07  -0.03    -0.04   0.15   0.06
  21   1    -0.08   0.01  -0.11     0.07  -0.02   0.05    -0.10   0.07  -0.03
  22   1     0.02  -0.16  -0.03    -0.01   0.11  -0.00     0.03  -0.02   0.02
  23   1     0.07  -0.08   0.08    -0.06   0.03  -0.08     0.02   0.02   0.10
  24   1    -0.04  -0.04  -0.02     0.06   0.00   0.08     0.05  -0.00   0.08
  25   1     0.00  -0.05  -0.00    -0.01   0.08  -0.02     0.01   0.02   0.05
  26   1     0.08   0.01  -0.04     0.03  -0.08  -0.24    -0.01  -0.05   0.03
  27   1    -0.02  -0.04   0.00    -0.03  -0.27  -0.03     0.06  -0.04   0.03
  28   1    -0.01   0.08   0.20    -0.09   0.02   0.15     0.01  -0.08  -0.11
  29   1    -0.03   0.25   0.01     0.06   0.12   0.06     0.00  -0.16  -0.02
  30   1    -0.02  -0.00  -0.19    -0.04   0.06   0.19     0.06  -0.02   0.02
